date,pm2.5,pm10,temp,humidity
2019.9.16 19:22,2,2,25.9,51.7
2019.9.16 19:22,2,2,25.9,51.7
2019.9.16 19:22,2,2,25.9,51.7
2019.9.16 19:22,2,2,25.9,51.7
2019.9.16 19:23,1,1,25.9,51.7
2019.9.16 19:23,1,1,25.9,51.7
2019.9.16 19:23,1,1,25.9,51.7
2019.9.16 19:23,2,3,25.9,51.7
2019.9.16 19:23,2,3,25.9,51.7
2019.9.16 19:23,3,4,25.9,51.7
2019.9.16 19:23,3,4,25.9,51.7
2019.9.16 19:23,2,4,25.9,51.7
2019.9.16 19:23,2,4,25.9,51.7
2019.9.16 19:23,3,3,25.9,51.6
2019.9.16 19:23,3,3,25.9,51.6
2019.9.16 19:23,3,3,26,51.7
2019.9.16 19:24,3,3,25.9,51.7
2019.9.16 19:24,3,3,25.9,51.7
2019.9.16 19:24,3,3,25.9,51.7
2019.9.16 19:24,2,2,25.9,51.7
2019.9.16 19:24,2,2,25.9,51.7
2019.9.16 19:24,3,3,25.9,51.7
2019.9.16 19:24,3,3,25.9,51.7
2019.9.16 19:24,4,4,25.9,51.7
2019.9.16 19:24,4,4,25.9,51.7
2019.9.16 19:24,3,3,25.9,51.7
2019.9.16 19:24,3,3,25.9,51.7
2019.9.16 19:24,3,3,25.9,51.7
2019.9.16 19:25,3,3,25.9,51.7
2019.9.16 19:25,3,3,25.9,51.7
2019.9.16 19:25,3,3,25.9,51.7
2019.9.16 19:25,3,3,25.9,51.8
2019.9.16 19:25,3,3,25.9,51.7
2019.9.16 19:25,2,4,25.9,51.8
2019.9.16 19:25,2,4,25.9,51.8
2019.9.16 19:25,2,3,25.9,51.7
2019.9.16 19:25,2,3,25.9,51.7
2019.9.16 19:25,3,4,25.9,51.7
2019.9.16 19:25,3,4,25.9,51.7
2019.9.16 19:25,3,3,25.9,51.7
2019.9.16 19:26,3,3,25.9,51.7
2019.9.16 19:26,2,2,25.9,51.6
2019.9.16 19:26,2,2,25.9,51.7
2019.9.16 19:26,2,3,25.9,51.7
2019.9.16 19:26,2,3,25.9,51.7
2019.9.16 19:26,1,2,25.9,51.7
2019.9.16 19:26,1,2,25.9,51.7
2019.9.16 19:26,2,3,25.9,51.7
2019.9.16 19:26,2,3,25.9,51.7
2019.9.16 19:26,2,2,25.9,51.7
2019.9.16 19:26,2,2,25.9,51.7
2019.9.16 19:26,2,2,25.9,51.7
2019.9.16 19:27,2,2,25.9,51.7
2019.9.16 19:27,2,2,25.9,51.7
2019.9.16 19:27,2,2,25.9,51.7
2019.9.16 19:27,1,1,25.8,51.6
2019.9.16 19:27,1,1,25.8,51.6
2019.9.16 19:27,2,3,25.9,51.7
2019.9.16 19:27,2,3,25.9,51.6
2019.9.16 19:27,2,3,25.9,51.6
2019.9.16 19:27,2,3,25.9,51.5
2019.9.16 19:27,2,3,25.8,51.4
